scheduler,runs,sla_violation_rate_pct_mean,sla_violation_rate_pct_std,sla_violation_rate_pct_ci95_low,sla_violation_rate_pct_ci95_high,energy_wh_per_container_mean,energy_wh_per_container_std,energy_wh_per_container_ci95_low,energy_wh_per_container_ci95_high,carbon_g_per_container_mean,carbon_g_per_container_std,carbon_g_per_container_ci95_low,carbon_g_per_container_ci95_high,mean_response_time_ms_mean,mean_response_time_ms_std,mean_response_time_ms_ci95_low,mean_response_time_ms_ci95_high,scheduling_latency_ms_mean,scheduling_latency_ms_std,scheduling_latency_ms_ci95_low,scheduling_latency_ms_ci95_high,semantic_refresh_latency_ms_mean,semantic_refresh_latency_ms_std,semantic_refresh_latency_ms_ci95_low,semantic_refresh_latency_ms_ci95_high,fairness_index_mean,fairness_index_std,fairness_index_ci95_low,fairness_index_ci95_high,load_imbalance_score_mean,load_imbalance_score_std,load_imbalance_score_ci95_low,load_imbalance_score_ci95_high,mean_reward_mean,mean_reward_std,mean_reward_ci95_low,mean_reward_ci95_high
DeepSched,2,57.5,8.249579113843048,46.06666666666668,68.93333333333332,0.005936492746012383,3.110306107264339e-06,0.005932182081673958,0.005940803410350808,0.0012383942415755702,5.743507177115276e-05,0.0011587932932700265,0.0013179951898811138,186.39078266819183,14.324637716701671,166.53784767185198,206.2437176645317,0.1480566458335571,0.009605202986879335,0.1347445136668336,0.1613687780002806,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,5.055491001262967,0.6096412231374472,4.21057137303912,5.900410629486813,-0.5967925015716133,0.028060603415295468,-0.6356825137715313,-0.5579024893716954
Energy-Aware,2,39.16666666666667,4.714045207910315,32.63333333333334,45.7,0.0029301019755494664,0.000513587683597152,0.0022183057612908097,0.003641898189808123,0.000648241227950431,4.9959778489855696e-05,0.0005790005075631917,0.0007174819483376704,132.05911709535067,29.389351269785045,91.32755432337527,172.79067986732608,0.13477999166662258,0.014272172560840872,0.11499976966655368,0.15456021366669148,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,2.865221503682764,0.10806922011848645,2.71544520605145,3.014997801314078,-0.440618372050111,0.0014406392554270207,-0.4426149961921527,-0.4386217479080693
K8s-Default,2,25.0,3.53553390593274,20.099999999999998,29.900000000000002,0.0030064895312077507,0.0006374203006431594,0.002123070065788289,0.0038899089966272127,0.0009264356447846275,0.00021496781110884983,0.0006285054587197102,0.0012243658308495448,102.46652609520592,17.59409935883942,78.08234844281566,126.85070374759619,0.13283172500040408,0.004740443861196288,0.12626180500023546,0.1394016450005727,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,2.4012144566319353,0.004543812758954327,2.3949170534359103,2.4075118598279603,-0.3208914339327261,0.014203037506223568,-0.3405758396355573,-0.3012070282298949
LLM-Heuristic,2,15.833333333333336,7.071067811865476,6.033333333333335,25.633333333333336,0.002779070901007862,0.0006697131669304058,0.001850895806306502,0.0037072459957092217,0.0006867663198140965,0.00013980214221699153,0.0004930104359534566,0.0008805222036747365,112.17133040950728,24.085837654298135,78.79006250311878,145.55259831589578,0.16668928749998813,0.027408195408214223,0.12870346666684895,0.2046751083331273,0.017815516368654576,0.003040199292583105,0.013602015118204223,0.02202901761910493,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,2.488470919502874,0.00613221683699536,2.4799721005689483,2.4969697384367993,-0.13945134581467689,0.021047995549305486,-0.16862237936594132,-0.11028031226341245
LLM-MARL-Orch,2,59.166666666666664,11.785113019775796,42.83333333333333,75.5,0.006784018638200113,0.0010737194494464003,0.0052959194027610585,0.008272117873639167,0.0014523206804400788,0.00033011392065216056,0.0009948061283999265,0.0019098352324802312,189.76415884744938,6.923075844456201,180.1692652499332,199.35905244496556,0.17698113749974692,0.024263691552651834,0.14335337666608916,0.21060889833340468,0.023324500002530613,0.0011257139933293558,0.021764340005745453,0.024884659999315772,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,5.204102012198922,0.5712292365224051,4.412418681355188,5.995785343042655,-0.41277840631761936,0.0491757163966509,-0.48093247208382495,-0.3446243405514138
LLM-MARL-Orch::No-Drift-Detection,2,59.583333333333336,11.195857368787,44.06666666666668,75.1,0.006115919038711299,0.00012888393483328627,0.005937295018270321,0.006294543059152277,0.0012614589867840221,6.019472494626628e-05,0.0011780333543097408,0.0013448846192583035,186.56668916220383,2.4011708503051117,183.23883614776892,189.89454217663874,0.1754619208334122,0.013865757045519189,0.15624496200039553,0.19467887966642886,0.021820000000616346,3.1819810298325055e-05,0.021775899993485837,0.021864100007746856,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,5.130244892022762,0.6756789775533507,4.1938016056337535,6.06668817841177,-0.4129036712744427,0.04899856499582119,-0.48081221772527444,-0.344995124823611
LLM-MARL-Orch::No-Fairness,2,59.583333333333336,11.195857368787,44.06666666666668,75.1,0.006115919038711299,0.00012888393483328627,0.005937295018270321,0.006294543059152277,0.0012614589867840221,6.019472494626628e-05,0.0011780333543097408,0.0013448846192583035,186.56668916220383,2.4011708503051117,183.23883614776892,189.89454217663874,0.18144840416649544,0.019944848324966385,0.1538062546658665,0.20909055366712437,0.022260499999759986,0.0010373256459041964,0.020822840002665544,0.02369815999685443,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,5.130244892022762,0.6756789775533507,4.1938016056337535,6.06668817841177,-0.4129036712744427,0.04899856499582119,-0.48081221772527444,-0.344995124823611
LLM-MARL-Orch::No-MARL,2,15.833333333333336,7.071067811865476,6.033333333333335,25.633333333333336,0.002779070901007862,0.0006697131669304058,0.001850895806306502,0.0037072459957092217,0.0006867663198140965,0.00013980214221699153,0.0004930104359534566,0.0008805222036747365,112.17133040950728,24.085837654298135,78.79006250311878,145.55259831589578,0.16166570000004654,0.01798504884754799,0.13673969399990446,0.18659170600018862,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,2.488470919502874,0.00613221683699536,2.4799721005689483,2.4969697384367993,-0.13945134581467689,0.021047995549305486,-0.16862237936594132,-0.11028031226341245
LLM-MARL-Orch::No-Semantic-Guidance,2,53.75,13.55287997274216,34.96666666666667,72.53333333333333,0.005893984659394377,0.0003153297189888897,0.00545695996548526,0.006331009353303494,0.0012754847436035374,7.755096892132349e-05,0.0011680045842203015,0.0013829649029867732,178.95786175190807,4.466521918893464,172.76757819505895,185.1481453087572,0.16545457916699036,0.02326669456122765,0.13320858566691152,0.1977005726670692,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,4.777199820405273,1.1192762460711807,3.225962086114082,6.328437554696464,-0.583897024124607,0.046356446758207596,-0.6481437815193127,-0.5196502667299012
LLM-MARL-Orch::Static-Weights,2,53.75,13.55287997274216,34.96666666666667,72.53333333333333,0.005893984659394377,0.0003153297189888897,0.00545695996548526,0.006331009353303494,0.0012754847436035374,7.755096892132349e-05,0.0011680045842203015,0.0013829649029867732,178.95786175190807,4.466521918893464,172.76757819505895,185.1481453087572,0.16781687916654536,0.002675073341864841,0.16410941666614554,0.1715243416669452,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,4.777199820405273,1.1192762460711807,3.225962086114082,6.328437554696464,-0.583897024124607,0.046356446758207596,-0.6481437815193127,-0.5196502667299012
MARL-Coop,2,53.33333333333333,3.5355339059327426,48.43333333333332,58.233333333333334,0.005906917164035014,0.0006334836875650827,0.005028953565988287,0.0067848807620817415,0.0013516097722659597,0.00020012852895176929,0.0010742457820018183,0.001628973762530101,173.43188554544173,14.02317661184026,153.9967543244644,192.86701676641906,0.13854229166661014,0.012233418719352478,0.12158763833285491,0.15549694500036537,0.0,0.0,0.0,0.0,0.9999999999999376,0.0,0.9999999999999376,0.9999999999999376,4.765176753977908,0.5449805232330073,4.00987228373631,5.520481224219506,-0.5824112163180586,0.011541119150550361,-0.5984063914011774,-0.5664160412349398
