workload_id,timestamp_s,workload_class,priority,cpu_request,memory_request_gb,network_request_mbps,storage_request_gb,estimated_duration_s,latency_budget_ms,energy_sensitivity,edge_locality,semantic_description,stress_regime
workload-000000,38.99082,TC,3,5.1551,18.3142,239.5292,8.5259,3.05218,317.0351,0.7631,0.1407,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=5.16; memory_gb=18.31; latency_budget_ms=317.0; energy_sensitivity=0.76; edge_locality=0.14,normal
workload-000001,56.03982,TC,3,2.8025,19.3876,539.4393,6.2601,2.23689,251.2503,0.9855,0.2689,throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=2.80; memory_gb=19.39; latency_budget_ms=251.3; energy_sensitivity=0.99; edge_locality=0.27,normal
workload-000002,61.0928,TX,2,2.2131,3.1154,366.4444,0.719,0.22293,108.9791,0.2524,0.5054,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.21; memory_gb=3.12; latency_budget_ms=109.0; energy_sensitivity=0.25; edge_locality=0.51,normal
workload-000003,63.98859,TX,2,1.8006,4.7019,155.2224,3.2928,0.52013,122.9794,0.4611,0.6869,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.80; memory_gb=4.70; latency_budget_ms=123.0; energy_sensitivity=0.46; edge_locality=0.69,normal
workload-000004,78.92575,LS,3,1.2027,3.1069,93.4603,1.9652,0.36443,45.5305,0.641,0.9847,latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=normal; cpu=1.20; memory_gb=3.11; latency_budget_ms=45.5; energy_sensitivity=0.64; edge_locality=0.98,normal
workload-000005,92.9233,TX,3,0.6209,1.0828,402.9855,2.7973,0.62349,86.3534,0.3142,0.6542,transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=0.62; memory_gb=1.08; latency_budget_ms=86.4; energy_sensitivity=0.31; edge_locality=0.65,normal
workload-000006,95.41416,TX,2,1.7577,5.0271,122.5446,1.7883,0.45092,93.6109,0.2985,0.356,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=1.76; memory_gb=5.03; latency_budget_ms=93.6; energy_sensitivity=0.30; edge_locality=0.36,normal
workload-000007,118.69306,TX,2,3.0211,6.2831,252.8929,2.3654,0.21439,123.2225,0.4644,0.6807,transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=3.02; memory_gb=6.28; latency_budget_ms=123.2; energy_sensitivity=0.46; edge_locality=0.68,normal
workload-000008,127.04176,LS,2,0.7519,0.6368,526.4157,1.4564,0.30087,57.8383,0.6415,0.7553,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=0.75; memory_gb=0.64; latency_budget_ms=57.8; energy_sensitivity=0.64; edge_locality=0.76,normal
workload-000009,166.96607,LS,1,0.9434,1.5418,289.1731,1.3979,0.38763,43.2577,0.4206,0.7941,latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=0.94; memory_gb=1.54; latency_budget_ms=43.3; energy_sensitivity=0.42; edge_locality=0.79,normal
workload-000010,169.68629,LS,2,2.7205,0.9676,576.9101,0.7104,0.16376,50.8388,0.4691,0.8008,latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.72; memory_gb=0.97; latency_budget_ms=50.8; energy_sensitivity=0.47; edge_locality=0.80,normal
